applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed
APP00001,44390.71044902028,601.2398524185091,1682.3657910849188,17888.98390961484,64,ON,Full-time,598
APP00002,34433.80694285433,389.2357931695882,1899.3474366102002,18146.498154798974,79,ON,Full-time,325
APP00003,47154.05358349179,1068.1825043459937,4607.121713482755,27607.612990702935,59,ON,Unemployed,0
APP00004,66923.92354538974,1007.7881424541475,2862.798621119409,19791.59217467945,36,ON,Full-time,246
APP00005,33138.08457443636,496.2669600078039,2474.6298123314637,1069.8606860890986,34,ON,Full-time,315
APP00006,33138.30219658631,369.98178445346855,6452.376445533317,36856.82922926238,69,ON,Full-time,162
APP00007,68444.94424319132,1007.3563493794528,6509.717452185445,37834.13503244569,55,ON,Full-time,369
APP00008,49467.62691392178,1130.8438403840923,8245.170697999292,37601.75562965175,32,ON,Full-time,185
APP00009,30161.154085684528,433.882633880935,4177.085669729759,17906.012663912865,86,BC,Unemployed,0
APP00010,45212.27314134674,1093.8382793448734,730.8509102615023,26592.184192247423,48,BC,Full-time,276
APP00011,30234.313412426363,728.8026091641294,2736.6638492145767,18638.702390656803,78,ON,Full-time,529
APP00012,30206.3649103135,324.66740388682734,9800.054631968169,1785.7836015016428,71,ON,Full-time,436
APP00013,40090.10199687122,452.5579539558589,5962.585752327021,28559.99812229952,54,BC,Part-time,260
APP00014,20000.0,454.2246901106297,7097.370848010202,7064.272638116541,48,BC,Full-time,245
APP00015,20000.0,297.5869729749064,73.57829625414536,4922.02488048059,82,ON,Part-time,338
APP00016,29061.943957683954,244.30147344704494,5182.057321825208,38019.45436614257,32,BC,Unemployed,0
APP00017,24269.298470009293,313.02210283264776,375.2865753180312,1465.8039184871757,41,BC,Full-time,50
APP00018,41266.18895320329,754.9160905620377,5692.30212091448,47991.413736827584,66,BC,Unemployed,0
APP00019,25308.363950105933,548.0382655750135,9207.708496360754,26247.51284151627,46,ON,Full-time,272
APP00020,20685.295420617345,218.36384434383925,9684.191305004078,49167.80510460127,25,ON,Full-time,235
APP00021,65405.35067969319,665.5445340689155,5405.526753889241,3841.881051162713,60,ON,Part-time,584
APP00022,33249.310898417825,788.0600127497075,4582.048052522159,29592.947894429748,28,ON,Part-time,556
APP00023,37388.22607757954,779.6369672124226,9450.17094248494,18117.02476281965,86,ON,Part-time,306
APP00024,20582.58413209313,373.8413386408944,6736.098319966951,42330.642147900006,62,ON,Full-time,477
APP00025,29270.830451680627,619.1691890247266,648.9927953840946,18699.914026480026,31,BC,Unemployed,0
APP00026,38042.866818734736,588.9380460198227,4657.255776674976,13763.891373810106,51,ON,Part-time,488
APP00027,22964.444563180157,481.66228740493153,2402.450184643039,43020.10322789575,50,ON,Full-time,80
APP00028,42293.09227648215,614.5207392814517,4698.0432144868155,19358.00149100979,66,BC,Unemployed,0
APP00029,28619.52239703905,354.92718804945383,4554.655720063617,1824.832673167512,23,ON,Unemployed,0
APP00030,32384.083830619475,663.3412277351324,5821.44802814742,20124.165941127354,79,ON,Full-time,286
APP00031,28607.299637221986,438.4890138298956,3567.704903492512,33071.591181536154,21,ON,Part-time,561
APP00032,76344.4880619364,1884.916277607618,1642.7044945592806,13463.61740151271,42,BC,Part-time,98
APP00033,36195.89346946647,512.4645860452388,5037.194345899563,22167.392028832706,52,BC,Part-time,478
APP00034,23837.50523741405,564.8405805514076,8302.028843457621,3779.0417758290505,60,ON,Full-time,406
APP00035,50570.20288580499,1207.7534468132897,6640.122280676023,29816.5467841839,38,BC,Part-time,537
APP00036,22331.697956954118,276.113932372103,3383.6786592521585,38058.4512691593,59,ON,Unemployed,0
APP00037,39562.82838275735,856.0216968337837,9355.230227588572,21252.315508654403,100,BC,Full-time,568
APP00038,20000.0,311.02483504818844,9122.075712491822,21591.399007271542,38,ON,Part-time,255
APP00039,21393.136422493233,505.42166453160564,2093.4839938409878,5325.842430660905,24,ON,Full-time,487
APP00040,39373.34468711356,623.4928413676719,394.17585120362975,10895.102361087145,75,ON,Full-time,194
APP00041,48897.74076164995,1014.0606766519979,7413.087083507622,8579.08985326772,60,ON,Full-time,516
APP00042,38973.88765979519,628.1079862572177,8276.102613491532,24602.70066441536,43,BC,Part-time,464
APP00043,34746.722439222816,421.478180830187,9678.645659513553,26933.521506586756,59,ON,Full-time,504
